u,v,t,h
39962,50726,67,1
42485,79700,44,8
9944,18821,41,4
11020,33377,82,6
48808,79546,24,4
42689,68742,92,0
27808,56143,40,0
392,27746,73,0
47772,57405,49,2
11919,14804,28,8
15551,82545,14,3
56014,57981,48,9
21487,41944,99,4
29349,31770,13,3
18927,26593,99,3
6143,46928,44,8
49868,52895,93,0
8909,60165,46,2
33569,36548,37,5
33377,33555,79,8
21339,54410,64,0
21620,55296,50,2
59251,81744,16,8
62820,70822,92,0
39548,78772,34,5
39548,42226,99,5
11515,74091,42,3
1253,42968,51,3
17770,60505,78,9
27187,81216,59,5
47548,64068,47,4
47548,67447,47,4
46897,71923,17,6
65276,80504,2,8
39152,69135,55,4
27272,44707,37,2
6430,8844,3,9
37708,38860,77,2
13919,82764,74,3
2364,72159,90,1
18851,26913,51,4
589,67568,48,7
37769,66582,99,8
23098,64819,81,1
10352,21457,24,2
34329,67951,98,2
23990,35091,4,8
73388,76833,94,9
18759,48911,13,8
40129,50138,15,7
4494,47748,37,4
48270,57087,45,3
20791,31772,72,4
7792,68341,82,3
36204,84283,13,2
15994,40021,18,5
27890,64719,74,4
8688,40643,80,0
75957,79688,99,0
35344,35707,6,8
12497,26101,7,8
71306,76235,93,4
22754,73201,62,1
35747,62511,36,2
11966,26295,2,6
6375,76186,98,0
25245,84086,10,8
23687,34885,18,5
11667,76935,74,3
26054,83975,84,0
24022,57487,24,3
29700,67562,17,4
47583,71215,42,6
1845,80030,11,9
17038,37008,27,7
17254,25162,64,7
21999,71193,5,8
18649,32215,21,3
62481,71313,98,0
5550,66524,59,2
25455,73558,94,1
22842,75257,69,1
81744,83041,25,7
33257,40564,19,8
4634,11969,3,9
2185,44186,73,6
5944,32215,21,3
1122,47361,50,6
1036,79569,32,3
62259,78062,58,9
30100,50338,3,8
64819,83440,39,4
69617,77512,32,5
24372,78963,62,0
28970,81115,9,7
77990,82901,98,3
49826,84143,93,0
30997,70227,37,2
328,11580,84,5
4098,11415,88,3
48506,73744,2,8
9837,55291,69,3
10184,17251,73,5
2292,82880,31,9
56859,81460,88,7
10193,20235,74,8
67162,72005,27,5
4150,64397,12,9
34857,62705,40,3
31634,67323,50,3
43290,68339,17,9
56414,71957,12,8
8924,20596,18,8
24052,69597,3,9
59196,76220,58,1
11442,32215,16,4
4080,32215,27,3
47274,55847,94,0
4711,13577,61,1
11578,26381,70,9
2776,71259,32,8
2588,67356,24,7
32288,57087,82,4
47323,62980,58,5
11415,30986,35,3
43695,56033,14,8
37666,69413,2,9
7440,16115,90,6
26786,69415,96,0
21028,45550,19,7
15972,38825,85,2
20767,23559,44,0
55788,69940,56,4
25342,48040,51,5
32215,71544,21,3
48093,68643,54,2
23671,70802,91,3
15392,81050,7,9
40021,46333,99,0
41531,74973,59,8
24074,68689,68,8
33723,81744,15,8
2132,21582,18,7
19209,77906,62,2
34895,64745,37,3
23047,50388,62,6
36905,54942,90,0
9389,14490,23,9
19625,32215,30,3
14518,52706,68,1
10712,26555,33,8
19947,69801,72,1
45810,72721,73,1
5358,58999,97,8
63785,64449,60,2
6791,32843,92,0
52886,84517,66,9
21027,41531,55,0
10699,58705,18,6
10712,15115,16,7
392,19668,60,7
17158,73719,14,8
45356,71867,24,1
14440,66093,71,1
55588,62024,96,0
26751,48911,65,7
10588,74298,9,9
11333,54763,54,3
30986,51187,14,8
7300,49197,85,2
7158,74434,87,3
1764,69691,71,4
5379,42978,86,6
30417,52780,80,9
36104,44615,64,7
52420,53042,37,6
21143,24825,27,5
13815,65556,85,0
29582,47429,26,2
22739,25332,25,4
22111,22377,3,6
8005,22377,48,3
33852,51187,18,6
46146,55291,74,1
29840,32215,23,4
66661,75680,56,3
2132,8538,82,3
29955,50610,48,1
5083,54944,37,7
48362,71329,34,6
6485,72130,12,7
7723,67069,16,6
36724,56921,5,8
57425,67878,35,2
32703,73245,43,4
22842,68504,81,1
49233,67604,73,7
22602,83282,9,8
41781,67463,46,6
60830,77097,11,6
2224,10610,65,2
48103,62864,4,7
9837,20668,32,3
26962,53567,67,0
20400,60102,28,6
15623,18120,69,4
34949,36022,9,8
44716,59374,58,1
37006,42968,43,2
9121,20373,6,6
13370,39872,42,1
1064,32215,12,5
10212,18034,54,2
53423,83769,68,5
15228,61857,5,9
40992,56368,1,7
80776,81960,93,1
10961,52318,99,5
10588,54754,29,4
2218,42645,18,7
32215,53245,29,5
21328,70218,17,6
22395,84038,45,1
13842,25330,35,6
9492,76576,11,8
18873,73533,59,2
7609,11149,25,5
26823,62481,97,0
15269,40268,92,0
20285,61286,66,4
32215,82373,5,8
18923,20285,69,1
80234,82716,38,7
53298,74072,87,2
64068,73360,48,8
41628,53968,15,7
28694,79847,6,8
48938,74864,56,0
26885,47579,38,3
13042,74360,69,6
62532,72974,71,0
20158,54737,84,5
31108,44950,82,3
23095,28893,87,9
15219,50503,51,7
127,47884,92,3
2988,65184,2,9
24972,30311,19,5
9492,17414,17,8
14851,32215,20,3
46271,56277,9,8
46141,75716,7,9
12723,48074,99,6
34750,67069,70,0
40,52391,24,7
52391,81672,42,4
43290,68504,23,6
3920,32215,19,4
7858,68532,58,6
65806,72413,25,2
32215,82945,31,1
26148,29352,80,6
14300,49226,47,1
40165,60125,38,3
28580,54862,69,3
23266,24372,31,1
11464,19625,62,6
3284,52667,46,3
9989,74973,59,5
18461,24494,75,8
16027,24377,78,0
54639,66159,20,2
54465,72094,29,6
9492,13454,14,7
46715,74408,63,1
5669,24486,48,0
59806,71215,55,9
14140,14998,95,1
47323,82300,79,1
34363,47673,84,5
36689,44446,36,1
55114,59967,87,0
8844,56372,81,1
7311,56419,94,0
32215,79480,20,4
6317,13370,64,8
40413,51145,69,6
30963,56101,52,1
17879,40745,7,7
4370,40932,19,7
67134,67447,58,1
13298,44979,11,6
23926,60102,39,7
22602,23926,2,9
65040,78640,79,0
72,41628,37,6
2549,62872,12,7
25917,37008,84,5
10935,30963,6,9
2604,69140,17,6
44716,60547,10,9
22675,30986,16,7
25597,56333,6,8
48841,66582,74,9
29480,77329,94,4
32074,79389,4,9
22210,56541,51,2
58556,68131,16,8
47792,61925,99,0
50630,74556,99,7
38236,64068,22,8
66988,81965,82,0
16079,66988,89,2
5991,54411,66,3
1177,11219,27,2
19939,69439,64,3
2409,13820,90,3
13820,42990,44,4
28213,74980,68,5
12093,33302,68,2
45810,47643,38,0
2777,28709,44,7
22513,45831,46,2
16079,84435,75,1
55827,75936,53,6
19668,32748,33,8
46850,61904,77,7
11828,50472,6,9
14737,40867,96,2
11510,76837,53,4
4531,12530,73,5
19911,62177,90,1
5179,10483,49,1
55788,62177,14,7
12474,81895,32,2
44055,82803,95,3
11020,42427,84,4
11396,13842,13,8
49235,62516,39,2
20158,22925,84,6
48922,64202,61,1
8538,36904,67,7
395,79501,8,7
244,80919,39,5
5024,52037,92,4
10367,50503,50,8
32564,45499,53,5
29417,39690,44,1
17460,53669,66,9
10501,62212,94,5
5814,64068,53,2
19960,71901,22,2
43094,49218,49,9
68756,71396,5,9
29980,38120,3,8
2428,63272,62,1
45810,47583,41,2
6915,22567,45,1
9389,10989,8,9
12558,75274,69,1
24497,84011,56,2
53862,84011,47,1
71215,72721,72,5
55616,64026,58,5
5375,47085,92,1
5976,13298,48,1
15392,41869,57,4
24498,62857,73,0
25170,66719,16,7
43736,66719,84,3
5722,30417,64,6
28362,55610,11,7
51187,64925,43,5
21661,73848,66,6
10551,33377,80,1
12713,55177,75,5
15114,18927,89,0
3946,36977,76,2
4323,51565,51,2
42840,59163,44,9
7302,44186,59,8
26330,35013,31,4
5529,22563,86,0
20326,84371,24,5
24335,71622,46,1
53840,56970,97,0
53797,69021,40,9
45045,50785,66,0
13751,81881,25,4
13617,83834,11,6
78502,80636,69,5
25252,48586,12,6
19413,66173,74,1
5167,25782,68,4
7609,44767,44,4
3519,29408,71,1
8731,46333,99,0
5069,46271,48,6
13815,84623,51,2
6730,7092,99,6
14594,57943,2,9
50114,52523,2,9
13836,57603,60,1
44417,65562,54,2
19520,64344,3,9
18927,64344,91,0
461,53898,46,6
5998,52267,83,0
24802,61563,62,3
53884,58869,66,0
40304,42865,27,2
4542,82892,73,3
4542,32617,97,4
4542,35341,90,5
31813,72005,34,3
11434,55270,64,5
31383,37038,71,6
127,18774,44,2
62224,69328,29,5
26555,68462,45,9
9564,78815,97,0
9959,31195,95,5
32575,43053,93,4
11333,55847,66,5
36688,77740,86,0
32215,52391,30,4
32215,58556,18,4
32215,55270,37,5
4518,24802,60,5
46998,48458,99,4
13815,18636,97,0
13751,62862,38,2
1305,77607,6,8
33140,37900,87,5
13435,39629,9,8
18241,23831,17,6
21711,55119,6,3
11149,82018,22,7
51015,74764,88,9
68727,69618,55,4
26257,27987,64,5
845,69618,18,7
2906,4634,51,6
13842,33054,10,8
28598,70071,73,5
49289,71605,70,2
21028,59103,88,1
7467,79615,95,0
2211,74899,67,0
2763,41358,37,4
2777,79060,30,4
8423,56787,59,3
37512,62818,56,3
7119,7177,14,7
30208,77168,95,0
9249,23287,55,0
20722,84012,44,2
15115,55158,15,8
60786,61397,94,0
14098,78062,54,2
26878,63602,75,6
5998,57968,3,9
32015,59232,91,6
52529,61272,88,1
5550,59479,15,7
24170,56814,87,0
35155,81160,64,1
7759,81160,15,8
10387,35639,7,9
6180,36132,97,8
2361,69618,4,9
57119,83041,86,2
21105,69097,10,3
33681,74200,20,6
714,29202,58,2
7925,24235,82,7
13717,43383,59,7
75981,78440,40,5
1161,15219,53,4
19088,35792,77,3
37181,58335,26,5
19625,69264,11,8
3144,75161,4,8
76576,83041,11,8
4033,46667,25,4
53423,77607,14,7
19668,30712,43,6
41975,83369,4,7
1308,38958,78,9
25642,28288,34,4
10610,14718,79,7
31942,53797,2,9
21522,64468,63,5
40048,67441,68,1
4886,67312,4,9
37685,46928,40,7
6098,37772,66,3
19625,46715,74,0
32617,68809,69,1
6576,30901,17,7
54737,59493,77,8
12842,61631,57,5
26419,35384,25,7
57603,68462,78,0
56039,59155,27,3
25330,52886,1,9
31849,37940,1,7
8460,62791,70,6
11194,33539,87,5
42573,67404,48,7
39954,45317,72,3
11533,66204,85,0
69948,83022,10,8
31815,34699,86,0
66787,76235,46,3
7119,50167,60,4
78622,81598,48,3
39413,54467,86,6
2673,80636,81,5
8432,64202,61,2
5601,14596,42,4
32215,76308,20,3
23141,55177,47,4
65479,66159,19,1
57115,84488,65,0
29056,41102,95,0
41651,79073,33,4
14873,49544,70,4
21143,75262,75,6
34319,35639,45,2
17988,79465,21,7
21050,52545,91,0
37462,52547,86,3
17924,31389,11,8
32215,59636,26,5
32215,53797,26,4
60634,63071,41,3
22754,36186,22,6
64449,80816,84,9
17770,36799,78,6
23054,42459,96,8
75161,78450,75,6
54094,84096,63,0
35510,63516,39,1
4711,33723,61,1
4698,48791,75,9
25330,52537,47,6
5069,34363,68,7
2431,82685,79,4
39962,82685,24,7
1305,67032,70,2
17460,74278,34,5
10501,65407,25,4
65982,72130,30,2
3489,19680,53,6
59765,66459,37,0
33007,83552,38,7
4400,19253,20,7
59251,76576,25,7
35045,40696,86,0
16945,32321,4,8
27564,61715,92,0
27220,50809,58,3
12199,26793,87,2
17950,73201,13,8
18927,79114,91,1
16945,48074,89,0
4531,29309,67,9
16595,45917,19,7
14214,61652,60,1
49062,81679,71,7
33485,77320,18,7
7750,46763,40,5
62217,64277,6,8
6206,67927,68,3
45590,45709,38,5
49099,61652,66,0
22546,68689,77,3
2493,59504,3,7
35091,50513,67,7
12023,72548,71,8
61743,84324,91,2
1347,65539,93,7
18639,79705,26,4
45540,46928,31,6
46732,50820,55,0
30589,61962,33,3
20285,63589,18,7
40466,77966,39,5
11578,26148,53,7
9944,15779,96,0
27723,64468,53,2
11532,22602,46,8
34559,77235,34,2
4534,54942,27,5
42012,62825,58,5
23926,83552,44,5
71478,76415,9,9
19668,63959,40,3
32617,47817,46,4
55296,57087,57,3
24170,71605,82,2
11483,21185,54,1
7935,33823,86,0
46901,83015,36,6
11580,29352,80,4
64759,73391,8,3
4159,49064,79,9
32215,68164,14,7
18607,47478,84,4
18821,80919,37,5
19611,76813,76,2
5134,55975,96,6
47012,70503,59,0
18927,37604,98,0
5856,20387,96,4
59042,65126,69,1
12556,34457,69,1
3564,56101,61,8
65968,68730,99,5
12900,52921,71,1
13902,27987,43,2
10885,37335,65,3
32215,59708,21,5
32215,39917,20,4
32215,56216,15,6
32215,66160,27,4
32215,36320,19,5
32215,81091,27,3
32215,66107,28,2
32215,82823,16,4
62263,64910,4,6
21185,55478,45,1
28686,79478,14,7
18133,45537,34,3
13203,34041,90,3
32748,52406,83,7
32619,54094,38,2
42485,50915,62,1
29359,78165,74,6
25170,52399,84,5
22821,71914,52,9
42645,64397,35,5
10117,14158,99,0
25597,36968,18,6
19515,42326,84,0
69512,72341,77,6
11828,19675,23,7
6430,41869,87,0
26699,43094,53,1
32564,38257,47,2
872,22161,68,3
71659,71882,40,3
54990,76180,20,6
59022,67877,67,1
3850,15836,49,4
8516,44186,3,9
41914,44186,66,1
17680,24305,36,5
31813,65914,38,2
11396,15443,52,3
4206,75695,54,6
21358,77416,27,4
57119,72130,8,8
19314,32564,59,5
25451,60967,75,4
17644,27027,53,5
8086,78165,50,9
9253,13501,63,3
28931,78647,27,1
17038,32736,41,1
5379,29417,14,7
35613,62752,72,8
27022,79818,16,8
9335,11985,69,0
2493,43189,5,8
19593,53990,8,4
1300,33956,78,3
25917,65126,2,9
2132,7925,83,7
8844,49979,81,3
16513,43523,99,3
45810,79314,72,2
2441,37313,18,6
23091,73902,32,6
15049,26164,58,0
12887,77914,10,9
2541,80441,25,9
8516,72302,39,7
2409,43570,30,7
73427,74436,93,0
6756,17641,11,8
65317,72548,71,6
16070,65078,89,8
15031,28207,25,8
61904,67447,5,9
4985,19314,57,2
36517,78594,47,7
29883,51047,3,9
56592,72249,44,5
6317,73074,58,2
34209,47281,5,9
22326,64719,12,8
19675,73021,1,9
39690,80195,49,3
70926,83640,31,1
59977,69210,15,8
20551,68637,82,3
5643,37313,18,5
25063,25453,17,6
41628,71659,64,2
47748,64719,84,7
52037,77913,26,9
12465,47797,69,0
37685,83552,41,2
57405,67291,11,6
11100,51278,88,7
10184,62054,48,2
64030,78973,84,5
24802,66990,59,1
4098,48915,87,1
20804,35049,18,8
31281,49829,7,8
64894,65485,5,8
59034,65738,71,5
10588,71478,10,8
61191,69253,37,4
4033,37181,43,6
14561,47533,8,8
5471,16627,64,5
40746,46368,50,3
5014,13298,36,2
61683,67453,27,3
58999,71196,64,3
35540,46427,95,9
12530,72435,50,4
19094,54120,6,9
48889,69954,90,8
21539,22597,40,5
49064,80636,68,6
17701,63785,30,7
11483,23812,69,1
20317,54072,20,6
37501,47436,50,1
53898,66988,94,0
33377,66990,19,7
41531,66990,59,2
15082,65407,62,4
52472,75161,20,5
43412,64759,8,6
8371,62224,71,9
55478,68496,5,8
13751,58125,13,7
17275,34573,92,5
40479,49490,3,9
55171,62684,74,0
54647,70417,74,7
23098,48610,3,9
66160,81672,25,7
16503,55610,75,3
18120,50503,73,6
18649,37074,22,5
36958,69635,53,7
59011,75833,49,2
49147,69566,23,2
26229,67568,6,9
40418,63527,31,2
9986,47228,84,4
6576,74973,79,7
7421,13820,22,6
26499,81636,94,5
5103,26562,65,1
38860,44065,12,9
42454,82892,3,9
29309,72055,15,8
21661,74958,87,5
16346,21661,71,4
6314,78311,87,1
69569,78772,11,8
32215,75006,18,5
64759,73289,8,3
15528,20127,84,1
30963,56414,62,2
29803,82300,80,0
54669,71857,50,1
64412,64759,8,5
38140,75956,65,5
59449,67034,56,5
15810,43615,87,5
31220,56794,31,6
15465,40696,75,0
2431,29352,80,0
11969,35540,40,5
24136,72880,18,7
42810,81247,66,6
6428,38529,75,1
1305,66107,69,8
51015,53797,39,9
31196,36689,36,2
51830,71323,52,3
32215,35696,25,3
56924,80218,21,6
25134,59807,78,0
13520,66603,97,3
14082,15290,35,5
4711,61329,61,2
36517,76165,39,7
3693,69983,98,0
35243,50903,33,4
4098,69439,88,4
28656,49064,87,5
25829,43189,61,4
37169,61933,69,7
13842,18774,44,5
32444,55681,47,0
9000,34169,70,9
28686,46127,61,2
4711,57968,41,4
9988,49372,88,2
11031,73184,71,1
55588,59209,96,0
1347,46029,38,6
18104,65315,23,7
42795,83915,57,1
12441,16764,19,6
55296,64560,34,9
46841,49289,78,9
69367,71396,71,6
48507,81679,86,1
5317,59706,31,5
31410,53713,94,2
19668,66990,73,5
25356,37373,41,2
27378,30246,81,1
21673,40985,78,6
66560,78551,76,3
73848,80949,62,3
2570,14804,37,6
67075,76679,99,1
4098,63403,97,6
32215,45149,17,5
32215,65320,27,5
11041,32215,19,4
32215,57405,23,3
20777,32215,17,6
12290,32215,42,3
32215,50297,15,7
5069,36517,27,6
9695,36517,69,4
69618,75638,49,7
11886,57466,88,0
2337,42346,45,0
25747,49895,5,8
30056,81315,49,5
1043,64196,32,3
37884,69805,30,7
29393,44446,49,7
78680,81744,34,8
30176,73945,92,0
32564,54072,34,3
67339,74397,44,3
44855,69144,95,6
30104,68341,12,7
24372,59962,26,2
61312,68168,64,5
69149,70974,92,0
38,41862,10,3
17098,81308,87,0
33377,73853,78,7
13842,20791,44,7
20791,48651,45,2
24349,62306,95,5
38361,70349,17,3
589,75695,37,4
47513,83022,5,9
18120,19675,30,4
7882,72579,93,0
36905,77742,90,1
15031,36905,62,1
17835,84668,72,6
44716,49096,27,9
32641,33723,2,9
17989,84631,71,2
20221,25959,51,6
28580,53054,31,6
37936,72003,70,3
25944,32969,10,4
13190,71882,80,1
51187,71882,24,5
31572,71882,43,4
39998,71659,40,5
39998,45838,48,7
4370,24946,29,4
2549,58651,57,2
1412,32733,41,1
38221,41149,84,7
10588,22526,98,4
4030,80116,90,7
10003,43455,59,1
45882,51612,78,7
7394,72557,38,6
13836,82880,58,3
2889,30589,98,0
25093,63507,63,9
2996,47746,38,2
32015,61312,17,6
69367,79700,1,9
18063,31077,38,4
52273,68532,55,4
54974,69512,81,7
37510,48951,86,7
34737,49935,13,7
23835,43240,78,3
14707,17928,10,8
4711,47884,87,5
39069,73848,66,5
30178,51603,25,4
14544,19668,25,5
25118,32736,74,6
66511,72060,96,0
6430,27559,87,0
42459,66719,83,0
16931,40718,50,6
68212,79938,70,8
39954,69542,68,8
23926,73902,40,5
31941,69954,14,6
70707,72342,48,6
6730,20686,13,6
30751,84558,78,4
13425,55025,35,2
24010,47064,1,9
31519,66032,24,6
51565,52706,71,0
6428,70588,25,3
49289,71407,33,7
20328,72055,85,3
3805,38958,84,7
25959,68690,41,6
9959,49064,71,6
58999,84668,64,8
29255,60356,26,3
11597,17219,49,1
49874,71292,97,4
39548,53348,81,2
10367,12556,64,2
29840,41926,66,1
4974,67454,83,4
6268,23529,1,9
6576,44065,43,4
17687,24407,12,6
18774,51374,84,7
39322,81679,86,9
26568,70461,99,0
13400,43503,66,4
21999,69732,38,3
2132,36904,80,0
30640,50138,76,4
1717,29774,87,4
2865,31606,40,2
33377,62509,80,7
7183,15458,71,7
40413,51374,6,6
7574,8211,55,1
1730,82371,47,4
4057,27144,92,4
48557,55750,25,5
6435,43145,46,3
8709,67161,20,6
8709,34025,96,4
11031,80126,86,9
53973,72435,98,7
22842,63403,61,4
3917,9389,90,7
42573,52921,1,9
13621,54804,10,3
31572,77512,15,8
12851,69301,61,0
15219,79546,60,1
63272,69386,40,6
14718,50106,30,4
68440,72130,12,7
12530,21999,1,8
67404,76914,3,8
42167,77535,77,2
59830,73848,99,0
27691,29195,71,2
31459,71407,53,4
35639,41966,31,7
9605,73763,80,5
43240,51929,85,1
18821,28580,1,9
62115,81498,65,6
15392,42485,63,1
13093,53433,74,0
3516,70856,74,8
35023,75579,70,5
14123,32769,86,1
12914,28156,41,7
28251,31373,21,6
5083,34363,53,6
5379,59232,95,7
13815,65126,92,6
41611,64756,99,4
4610,54089,47,5
37619,60949,82,6
34457,56787,9,8
29708,54012,57,4
47633,57048,71,4
9327,38862,34,6
23144,70863,42,6
16809,26330,44,2
57087,71659,43,4
6153,11204,54,5
71668,77921,5,7
22602,31389,4,9
35707,49226,50,6
9368,57722,1,9
5991,74832,23,7
23578,79321,67,0
20285,24074,10,8
27723,49955,62,3
21908,81115,35,6
8933,68212,22,4
4542,42326,45,1
56953,66739,53,3
42012,67568,73,7
26836,83660,89,7
17950,66974,9,7
37310,78640,41,3
61856,66719,66,3
9988,35013,25,6
39548,73902,34,6
10003,63828,59,1
14583,22290,78,2
14776,36799,53,1
14544,51628,83,1
23850,58597,69,2
26169,34857,45,2
48867,56972,63,8
22391,56014,55,7
8371,76165,48,4
14585,28686,34,3
16079,47404,87,5
15220,29417,19,8
14031,15220,91,4
11072,37165,53,7
12323,73470,96,0
1871,26481,19,9
62752,69367,56,5
242,61027,68,6
15290,60505,19,7
4706,58008,27,6
42120,73977,2,8
64353,79992,8,7
20513,31596,73,3
40,61143,46,5
30751,32748,54,1
23343,58319,80,3
23084,47788,5,7
5251,46427,59,1
37462,59997,89,7
21677,42462,64,7
48132,72548,47,1
25748,79847,66,4
9466,19699,50,8
75579,79796,70,1
36727,84631,27,8
66988,72606,43,2
35540,71882,33,6
14867,39653,31,2
39210,83552,2,9
81115,82234,73,3
17929,81115,67,2
55721,67877,45,8
54379,70567,50,7
30451,42462,90,4
18705,74113,37,6
3564,72341,59,8
49796,75257,29,3
27700,52037,57,0
56584,79911,51,0
56921,66782,25,2
50388,67272,35,2
19625,82234,51,6
13190,19625,81,2
25369,79887,73,3
32288,63959,1,9
37830,75584,89,0
12839,49354,37,2
69097,82288,56,0
23098,80336,83,4
12930,32215,14,6
22842,52391,25,6
69232,84212,58,3
56101,69571,20,6
22546,60676,81,3
4885,55177,23,7
32215,55177,28,4
3805,81310,44,3
1940,18334,58,0
2763,48040,68,3
41452,44696,96,0
4542,55158,12,8
10521,23086,96,0
8125,29687,46,3
20014,48199,58,1
15623,24284,69,2
16962,71613,99,1
39527,59849,98,8
10133,11938,67,5
26904,81498,26,3
41436,67062,64,8
77971,80776,98,8
12842,83091,35,8
19931,67291,16,6
6526,53954,74,9
4711,39954,74,1
30191,53433,68,0
31653,34989,9,8
14873,81946,81,7
11582,51343,7,9
39932,42565,80,0
66359,74495,23,2
55588,58972,96,0
39690,59493,52,7
7746,36950,77,9
51187,71659,40,4
24631,51187,24,4
43814,51187,42,4
51187,69954,3,8
44615,63403,89,0
80244,82993,30,3
1764,51015,39,3
30171,33274,10,9
32215,62224,27,3
63071,82280,12,6
36662,73848,35,2
21771,22761,27,6
11049,22670,95,0
52921,64925,37,3
28580,38257,65,3
4634,76894,33,8
11578,43235,75,1
18298,54782,82,1
23068,66247,78,4
37462,58417,86,5
5251,55694,26,5
14354,18927,98,0
17551,32453,23,3
1418,9277,70,4
3917,54744,87,0
12323,21661,10,8
48270,70359,99,0
25464,48270,35,4
42810,79546,77,1
37008,48169,67,3
7609,56294,15,7
18821,58935,76,2
26302,57472,83,9
1940,34285,14,8
33581,56095,53,2
